word,frequency
понимаем,5
водкой,5
скажешь,5
остановилась,5
формы,5
кося,5
восторг,5
начали,5
каша,5
петька,5
табурете,5
брюнетка,5
бледная,5
мужской,5
грязный,5
ребра,5
получив,5
непременно,5
холодные,5
ладони,5
занятие,5
забыли,5
послышалось,5
обращаясь,5
картину,5
полно,5
искусства,5
живете,5
поморщился,5
художника,5
расстаться,5
милая,5
садись,5
сахар,5
необходимо,5
век,5
уйти,5
уходить,5
щеку,5
ушах,5
зубами,5
помогает,5
думай,5
простая,5
припоминать,5
саду,5
ходили,5
терпеть,5
сделав,5
поехал,5
людьми,5
квартиры,5
яшкина,5
графин,5
третья,5
препинания,5
умный,5
прокурора,5
государь,5
точка,5
ять,5
обижается,5
прочитав,5
слышать,5
разговора,5
собаки,5
столу,5
порцию,5
задумчиво,5
кошка,5
лепечет,5
фыркая,5
последней,5
дыбом,5
руководство,5
тайну,5
своею,5
наружности,5
цвет,5
замуж,5
бьют,5
щекам,5
объяснения,5
задыхаясь,5
другими,5
рыжие,5
означают,5
дочек,5
чужих,5
выйти,5
маленькие,5
барышни,5
печь,5
побольше,5
рояль,5
суда,5
тощий,5
мечтать,5
присяжные,5
осторожно,5
моем,5
принимается,5
законов,5
звонят,5
жужжит,5
обыкновению,5
работы,5
положить,5
локоть,5
стакан,5
суде,5
коллежский,5
самих,5
качестве,5
вашем,5
стакана,5
папенька,5
романсы,5
шляпе,5
дачи,5
свадьба,5
можем,5
делали,5
настасья,5
найти,5
запой,5
судьбы,5
пропасть,5
наказание,5
окаменел,5
кресло,5
идите,5
живу,5
бежать,5
сумасшедший,5
известный,5
мужика,5
проехать,5
кружатся,5
неба,5
беспокойно,5
гришка,5
взглянет,5
захочет,5
москве,5
бить,5
комиссия,5
успел,5
умерла,5
зло,5
просить,5
изо,5
сани,5
темный,5
разом,5
стук,5
брать,5
канцелярии,5
инспектора,5
меньшей,5
обращаться,5
объявление,5
красным,5
брюках,5
почерк,5
чисто,5
думали,5
лицам,5
брюки,5
кузьмич,5
пишешь,5
родился,5
классе,5
средства,5
заглядывая,5
каждое,5
строки,5
зовут,5
знали,5
несмотря,5
физиономия,5
дикобразова,5
театра,5
повесить,5
проклятый,5
важность,5
трагик,5
окну,5
обрадовался,5
представьте,5
гребешкова,5
сделай,5
чиновников,5
анафема,5
покажу,5
благодарить,5
среди,5
водка,5
посыпались,5
движениями,5
крякнул,5
вытаращил,5
предложил,5
повалился,5
подушку,5
увидите,5
великому,5
эй,5
чудеса,5
плакала,5
поднимая,5
вошла,5
обыск,5
полная,5
рукавом,5
украли,5
женщину,5
вести,5
подают,5
заплакала,5
оскорбили,5
умоляю,5
журнала,5
жен,5
последний,5
сделала,5
которым,5
углу,5
ничто,5
чая,5
взор,5
настолько,5
любить,5
души,5
зубах,5
бедного,5
случайно,5
петь,5
стою,5
самому,5
языка,5
мигал,5
глуп,5
смотреть,5
начинал,5
серьезное,5
ошибке,5
всяком,5
нервы,5
образы,5
дернул,5
опрометью,5
подери,5
сном,5
снег,5
бросили,5
военный,5
злобно,5
попасть,5
пес,5
проходят,5
вытирая,5
заместо,5
сыну,5
заявляет,5
шагов,5
грязной,5
тянется,5
водой,5
неделя,5
расстановкой,5
осталась,5
приказал,5
скажем,5
слушает,5
следователь,5
гайку,5
брось,5
крючок,5
спрашиваете,5
ведет,5
помилуй,5
щурит,5
понимать,5
железной,5
спросите,5
молчания,5
женится,5
целую,5
пелагею,5
верочка,5
хорошие,5
скажут,5
сорока,5
взялся,5
папаша,5
замелькали,5
знай,5
посреди,5
шампанского,5
горничной,5
пятнадцать,5
трактир,5
незачем,5
новым,5
ворота,5
памятник,5
снял,5
нервно,5
калош,5
старательно,5
слабо,5
носили,5
строк,5
впечатление,5
книгу,5
одни,5
нескромный,5
прежнему,5
квартира,5
ночевать,5
пройти,5
ненавистью,5
толпе,5
удивительно,5
генерала,5
коленях,5
сознание,5
поедемте,5
камень,5
стонет,5
мертвого,5
порядочный,5
усмехнулся,5
граф,5
нужен,5
тысяча,5
рада,5
никиткин,5
ставить,5
узнав,5
дадут,5
снимает,5
рекомендую,5
пеплов,5
берите,5
кончилась,5
одет,5
ногах,5
оказия,5
презрительно,5
глухим,5
ими,5
оттуда,5
встречи,5
кармане,5
приятеля,5
чаще,5
плачу,5
огня,5
целых,5
объяснять,5
дождь,5
картузик,5
звука,5
деревни,5
поры,5
грех,5
глядишь,5
обрывается,5
рода,5
известен,5
газету,5
клетке,5
удава,5
тапер,5
фигуры,5
доброго,5
описывает,5
съешь,5
добро,5
козявкина,5
крик,5
кур,5
версты,5
человеческие,5
действием,5
стегнул,5
этакое,5
разбойник,5
испугался,5
карманах,5
пошутил,5
наплевать,5
нашим,5
всякой,5
ход,5
прочие,5
общее,5
ильич,5
чепуху,5
ученому,5
машина,5
недурно,5
выеденное,5
ем,5
маслом,5
всяких,5
хорошее,5
полторы,5
видать,5
отпустите,5
теста,5
побледнел,5
вокруг,5
пустите,5
взглянуть,5
хватай,5
налима,5
показывается,5
ловко,5
минута,5
предрассудки,5
дрожжи,5
прыжок,5
